UNIT NAME,"INTERCONNECTION REQUEST
 NUMBER (INR)",UNIT CODE,TECHNOLOGY,FUEL,CDR STATUS,CDR RESOURCE ATTRIBUTE ,COUNTY,ZONE,"IN-SERVICE
DATE","INSTALLED CAPACITY
(MW)"
MIDLOTHIAN ENERGY FACILITY CTG 1,,MDANP_CT1,CC,GAS,OPER,CONV,ELLIS,NORTH,3/18/2001, 258.0 
MIDLOTHIAN ENERGY FACILITY CTG 2,,MDANP_CT2,CC,GAS,OPER,CONV,ELLIS,NORTH,3/15/2001, 256.0 
MIDLOTHIAN ENERGY FACILITY CTG 3,,MDANP_CT3,CC,GAS,OPER,CONV,ELLIS,NORTH,1/22/2001, 255.0 
MIDLOTHIAN ENERGY FACILITY CTG 4,,MDANP_CT4,CC,GAS,OPER,CONV,ELLIS,NORTH,2/8/2001, 258.0 
MIDLOTHIAN ENERGY FACILITY CTG 5,,MDANP_CT5,CC,GAS,OPER,CONV,ELLIS,NORTH,6/28/2002, 276.0 
MIDLOTHIAN ENERGY FACILITY CTG 6,,MDANP_CT6,CC,GAS,OPER,CONV,ELLIS,NORTH,6/7/2002, 278.0 
MORGAN CREEK CTG 1,,MGSES_CT1,GT,GAS,OPER,CONV,MITCHELL,WEST,7/1/1988, 89.4 
MORGAN CREEK CTG 2,,MGSES_CT2,GT,GAS,OPER,CONV,MITCHELL,WEST,7/1/1988, 89.4 
MORGAN CREEK CTG 3,,MGSES_CT3,GT,GAS,OPER,CONV,MITCHELL,WEST,7/1/1988, 89.4 
MORGAN CREEK CTG 4,,MGSES_CT4,GT,GAS,OPER,CONV,MITCHELL,WEST,7/1/1988, 89.4 
MORGAN CREEK CTG 5,,MGSES_CT5,GT,GAS,OPER,CONV,MITCHELL,WEST,7/1/1988, 89.4 
MORGAN CREEK CTG 6,,MGSES_CT6,GT,GAS,OPER,CONV,MITCHELL,WEST,7/1/1988, 89.4 
MOUNTAIN CREEK STG 6,,MCSES_UNIT6,ST,GAS,OPER,CONV,DALLAS,NORTH,1/1/1956, 122.0 
MOUNTAIN CREEK STG 7,,MCSES_UNIT7,ST,GAS,OPER,CONV,DALLAS,NORTH,1/1/1958, 118.0 
MOUNTAIN CREEK STG 8,,MCSES_UNIT8,ST,GAS,OPER,CONV,DALLAS,NORTH,1/1/1967, 568.0 
NUECES BAY REPOWER CTG 8,,NUECES_B_NUECESG8,CC,GAS,OPER,CONV,NUECES,COASTAL,3/20/2010, 189.6 
NUECES BAY REPOWER CTG 9,,NUECES_B_NUECESG9,CC,GAS,OPER,CONV,NUECES,COASTAL,3/20/2010, 189.6 
NUECES BAY REPOWER STG 7,,NUECES_B_NUECESG7,CC,GAS,OPER,CONV,NUECES,COASTAL,1/1/1972, 351.0 
O W SOMMERS STG 1,,CALAVERS_OWS1,ST,GAS,OPER-UNR,CONV,BEXAR,SOUTH,6/6/1972, 445.0 
O W SOMMERS STG 2,,CALAVERS_OWS2,ST,GAS,OPER-UNR,CONV,BEXAR,SOUTH,3/20/1974, 435.0 
ODESSA-ECTOR POWER CTG 11,,OECCS_CT11,CC,GAS,OPER,CONV,ECTOR,WEST,6/1/2001, 195.2 
ODESSA-ECTOR POWER CTG 12,,OECCS_CT12,CC,GAS,OPER,CONV,ECTOR,WEST,6/1/2001, 189.1 
ODESSA-ECTOR POWER CTG 21,,OECCS_CT21,CC,GAS,OPER,CONV,ECTOR,WEST,6/1/2001, 195.2 
ODESSA-ECTOR POWER CTG 22,,OECCS_CT22,CC,GAS,OPER,CONV,ECTOR,WEST,6/1/2001, 189.1 
ODESSA-ECTOR POWER STG 1,,OECCS_UNIT1,CC,GAS,OPER,CONV,ECTOR,WEST,6/1/2001, 224.0 
ODESSA-ECTOR POWER STG 2,,OECCS_UNIT2,CC,GAS,OPER,CONV,ECTOR,WEST,6/1/2001, 224.0 
OLD BLOOMINGTON ROAD CTG 1 (VICTORIA PORT 2),,VICTPRT2_UNIT1,GT,GAS,OPER,CONV,VICTORIA,SOUTH,1/12/2022, 60.5 
OLD BLOOMINGTON ROAD CTG 2 (VICTORIA PORT 2),,VICTPRT2_UNIT2,GT,GAS,OPER,CONV,VICTORIA,SOUTH,1/12/2022, 60.5 
PANDA SHERMAN POWER CTG 1,,PANDA_S_SHER1CT1,CC,GAS,OPER,CONV,GRAYSON,NORTH,8/1/2014, 232.0 
PANDA SHERMAN POWER CTG 2,,PANDA_S_SHER1CT2,CC,GAS,OPER,CONV,GRAYSON,NORTH,8/1/2014, 232.0 
PANDA SHERMAN POWER STG 1,,PANDA_S_SHER1ST1,CC,GAS,OPER,CONV,GRAYSON,NORTH,8/1/2014, 353.1 
PANDA TEMPLE I POWER CTG 1,,PANDA_T1_TMPL1CT1,CC,GAS,OPER,CONV,BELL,NORTH,8/1/2014, 232.0 
PANDA TEMPLE I POWER CTG 2,,PANDA_T1_TMPL1CT2,CC,GAS,OPER,CONV,BELL,NORTH,8/1/2014, 232.0 
PANDA TEMPLE I POWER STG 1,,PANDA_T1_TMPL1ST1,CC,GAS,OPER,CONV,BELL,NORTH,8/1/2014, 353.1 
PANDA TEMPLE II POWER CTG 1,,PANDA_T2_TMPL2CT1,CC,GAS,OPER,CONV,BELL,NORTH,8/1/2015, 232.0 
PANDA TEMPLE II POWER CTG 2,,PANDA_T2_TMPL2CT2,CC,GAS,OPER,CONV,BELL,NORTH,8/1/2015, 232.0 
PANDA TEMPLE II POWER STG 1,,PANDA_T2_TMPL2ST1,CC,GAS,OPER,CONV,BELL,NORTH,8/1/2015, 353.1 
PARIS ENERGY CENTER CTG 1,,TNSKA_GT1,CC,GAS,OPER,CONV,LAMAR,NORTH,6/1/1989, 90.9 
PARIS ENERGY CENTER CTG 2,,TNSKA_GT2,CC,GAS,OPER,CONV,LAMAR,NORTH,6/1/1989, 90.9 
PARIS ENERGY CENTER STG 1,,TNSKA_STG,CC,GAS,OPER,CONV,LAMAR,NORTH,2/1/1990, 90.0 
PASADENA COGEN FACILITY CTG 2,,PSG_PSG_GT2,CC,GAS,OPER,CONV,HARRIS,HOUSTON,6/2/2000, 215.1 
PASADENA COGEN FACILITY CTG 3,,PSG_PSG_GT3,CC,GAS,OPER,CONV,HARRIS,HOUSTON,6/2/2000, 215.1 
PASADENA COGEN FACILITY STG 2,,PSG_PSG_ST2,CC,GAS,OPER,CONV,HARRIS,HOUSTON,6/2/2000, 195.5 
PEARSALL ENGINE PLANT IC A,,PEARSAL2_AGR_A,IC,GAS,OPER,CONV,FRIO,SOUTH,6/29/2012, 50.6 
PEARSALL ENGINE PLANT IC B,,PEARSAL2_AGR_B,IC,GAS,OPER,CONV,FRIO,SOUTH,6/29/2012, 50.6 
PEARSALL ENGINE PLANT IC C,,PEARSAL2_AGR_C,IC,GAS,OPER,CONV,FRIO,SOUTH,6/29/2012, 50.6 
PEARSALL ENGINE PLANT IC D,,PEARSAL2_AGR_D,IC,GAS,OPER,CONV,FRIO,SOUTH,6/29/2012, 50.6 
PERMIAN BASIN CTG 1,,PB2SES_CT1,GT,GAS,OPER,CONV,WARD,WEST,5/1/1988, 89.4 
PERMIAN BASIN CTG 2,,PB2SES_CT2,GT,GAS,OPER,CONV,WARD,WEST,5/1/1988, 89.4 
PERMIAN BASIN CTG 3,,PB2SES_CT3,GT,GAS,OPER,CONV,WARD,WEST,5/1/1988, 89.4 
PERMIAN BASIN CTG 4,,PB2SES_CT4,GT,GAS,OPER,CONV,WARD,WEST,2/1/1990, 89.4 
PERMIAN BASIN CTG 5,,PB2SES_CT5,GT,GAS,OPER,CONV,WARD,WEST,2/1/1990, 89.4 
PROENERGY SOUTH 1 (PES1) CTG 1,,PRO_UNIT1,GT,GAS,OPER,CONV,HARRIS,HOUSTON,3/30/2021, 60.5 
PROENERGY SOUTH 1 (PES1) CTG 2,,PRO_UNIT2,GT,GAS,OPER,CONV,HARRIS,HOUSTON,3/30/2021, 60.5 
PROENERGY SOUTH 1 (PES1) CTG 3,,PRO_UNIT3,GT,GAS,OPER,CONV,HARRIS,HOUSTON,3/30/2021, 60.5 
PROENERGY SOUTH 1 (PES1) CTG 4,,PRO_UNIT4,GT,GAS,OPER,CONV,HARRIS,HOUSTON,3/30/2021, 60.5 
PROENERGY SOUTH 1 (PES1) CTG 5,,PRO_UNIT5,GT,GAS,OPER,CONV,HARRIS,HOUSTON,3/30/2021, 60.5 
PROENERGY SOUTH 1 (PES1) CTG 6,,PRO_UNIT6,GT,GAS,OPER,CONV,HARRIS,HOUSTON,3/30/2021, 60.5 
PROENERGY SOUTH 2 (PES2) CTG 7,,PRO_UNIT7,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/11/2021, 60.5 
PROENERGY SOUTH 2 (PES2) CTG 8,,PRO_UNIT8,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/11/2021, 60.5 
PHR PEAKERS (BAC) CTG 1,,BAC_CTG1,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,7/11/2018, 65.0 
PHR PEAKERS (BAC) CTG 2,,BAC_CTG2,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,7/11/2018, 65.0 
PHR PEAKERS (BAC) CTG 3,,BAC_CTG3,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,7/11/2018, 65.0 
PHR PEAKERS (BAC) CTG 4,,BAC_CTG4,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,7/11/2018, 65.0 
PHR PEAKERS (BAC) CTG 5,,BAC_CTG5,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,7/11/2018, 65.0 
PHR PEAKERS (BAC) CTG 6,,BAC_CTG6,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,7/11/2018, 65.0 
POWERLANE PLANT STG 2,,STEAM_STEAM_2,ST,GAS,OPER,CONV,HUNT,NORTH,1/1/1967, 25.0 
POWERLANE PLANT STG 3,,STEAM_STEAM_3,ST,GAS,OPER,CONV,HUNT,NORTH,1/1/1978, 43.2 
QUAIL RUN ENERGY CTG 1,,QALSW_GT1,CC,GAS,OPER,CONV,ECTOR,WEST,4/12/2007, 90.6 
QUAIL RUN ENERGY CTG 2,,QALSW_GT2,CC,GAS,OPER,CONV,ECTOR,WEST,4/12/2007, 90.6 
QUAIL RUN ENERGY CTG 3,,QALSW_GT3,CC,GAS,OPER,CONV,ECTOR,WEST,5/3/2008, 90.6 
QUAIL RUN ENERGY CTG 4,,QALSW_GT4,CC,GAS,OPER,CONV,ECTOR,WEST,5/3/2008, 90.6 
QUAIL RUN ENERGY STG 1,,QALSW_STG1,CC,GAS,OPER,CONV,ECTOR,WEST,4/12/2007, 98.1 
QUAIL RUN ENERGY STG 2,,QALSW_STG2,CC,GAS,OPER,CONV,ECTOR,WEST,5/3/2008, 98.1 
R W MILLER CTG 4,,MIL_MILLERG4,GT,GAS,OPER,CONV,PALO PINTO,NORTH,7/1/1994, 115.3 
R W MILLER CTG 5,,MIL_MILLERG5,GT,GAS,OPER,CONV,PALO PINTO,NORTH,7/1/1994, 115.3 
R W MILLER STG 1,,MIL_MILLERG1,ST,GAS,OPER,CONV,PALO PINTO,NORTH,10/1/1968, 75.0 
R W MILLER STG 2,,MIL_MILLERG2,ST,GAS,OPER,CONV,PALO PINTO,NORTH,7/1/1972, 120.0 
R W MILLER STG 3,,MIL_MILLERG3,ST,GAS,OPER,CONV,PALO PINTO,NORTH,8/1/1975, 216.0 
RAY OLINGER CTG 4,,OLINGR_OLING_4,GT,GAS,OPER,CONV,COLLIN,NORTH,6/1/2001, 95.0 
RAY OLINGER STG 2,,OLINGR_OLING_2,ST,GAS,OPER,CONV,COLLIN,NORTH,5/1/1971, 113.6 
RAY OLINGER STG 3,,OLINGR_OLING_3,ST,GAS,OPER,CONV,COLLIN,NORTH,12/1/1975, 156.6 
RABBS POWER STATION U1,,RAB_UNIT1,GT,GAS,OPER,CONV,FORT BEND,HOUSTON,9/12/2022, 60.5 
RABBS POWER STATION U2,,RAB_UNIT2,GT,GAS,OPER,CONV,FORT BEND,HOUSTON,7/12/2022, 60.5 
RABBS POWER STATION U3,,RAB_UNIT3,GT,GAS,OPER,CONV,FORT BEND,HOUSTON,5/2/2022, 60.5 
RABBS POWER STATION U4,,RAB_UNIT4,GT,GAS,OPER,CONV,FORT BEND,HOUSTON,5/2/2022, 60.5 
RABBS POWER STATION U5,,RAB_UNIT5,GT,GAS,OPER,CONV,FORT BEND,HOUSTON,5/2/2022, 60.5 
RABBS POWER STATION U6,,RAB_UNIT6,GT,GAS,OPER,CONV,FORT BEND,HOUSTON,6/23/2022, 60.5 
RABBS POWER STATION U7,,RAB_UNIT7,GT,GAS,OPER,CONV,FORT BEND,HOUSTON,6/23/2022, 60.5 
RABBS POWER STATION U8,,RAB_UNIT8,GT,GAS,OPER,CONV,FORT BEND,HOUSTON,6/23/2022, 60.5 
REDGATE IC A,,REDGATE_AGR_A,IC,GAS,OPER,CONV,HIDALGO,SOUTH,8/10/2016, 56.3 
REDGATE IC B,,REDGATE_AGR_B,IC,GAS,OPER,CONV,HIDALGO,SOUTH,8/10/2016, 56.3 
REDGATE IC C,,REDGATE_AGR_C,IC,GAS,OPER,CONV,HIDALGO,SOUTH,8/10/2016, 56.3 
REDGATE IC D,,REDGATE_AGR_D,IC,GAS,OPER,CONV,HIDALGO,SOUTH,8/10/2016, 56.3 
REMY JADE POWER STATION U1,,JAD_UNIT1,GT,GAS,OPER,CONV,HARRIS,HOUSTON,9/13/2024, 60.5 
REMY JADE POWER STATION U2,,JAD_UNIT2,GT,GAS,OPER,CONV,HARRIS,HOUSTON,9/13/2024, 60.5 
REMY JADE POWER STATION U3,,JAD_UNIT3,GT,GAS,OPER,CONV,HARRIS,HOUSTON,9/13/2024, 60.5 
REMY JADE POWER STATION U4,,JAD_UNIT4,GT,GAS,OPER,CONV,HARRIS,HOUSTON,9/13/2024, 60.5 
REMY JADE POWER STATION U5,,JAD_UNIT5,GT,GAS,OPER,CONV,HARRIS,HOUSTON,9/13/2024, 60.5 
REMY JADE POWER STATION U6,,JAD_UNIT6,GT,GAS,OPER,CONV,HARRIS,HOUSTON,9/13/2024, 60.5 
RIO NOGALES POWER CTG 1,,RIONOG_CT1,CC,GAS,OPER,CONV,GUADALUPE,SOUTH,6/1/2002, 203.0 
RIO NOGALES POWER CTG 2,,RIONOG_CT2,CC,GAS,OPER,CONV,GUADALUPE,SOUTH,6/1/2002, 193.0 
RIO NOGALES POWER CTG 3,,RIONOG_CT3,CC,GAS,OPER,CONV,GUADALUPE,SOUTH,6/1/2002, 203.0 
RIO NOGALES POWER STG 4,,RIONOG_ST1,CC,GAS,OPER,CONV,GUADALUPE,SOUTH,6/1/2002, 373.2 
SAM RAYBURN POWER CTG 7,,RAYBURN_RAYBURG7,CC,GAS,OPER,CONV,VICTORIA,SOUTH,6/24/2003, 60.5 
SAM RAYBURN POWER CTG 8,,RAYBURN_RAYBURG8,CC,GAS,OPER,CONV,VICTORIA,SOUTH,6/26/2003, 60.5 
SAM RAYBURN POWER CTG 9,,RAYBURN_RAYBURG9,CC,GAS,OPER,CONV,VICTORIA,SOUTH,6/26/2003, 60.5 
SAM RAYBURN POWER STG 10,,RAYBURN_RAYBURG10,CC,GAS,OPER,CONV,VICTORIA,SOUTH,6/26/2003, 42.0 
SAN JACINTO SES CTG 1,,SJS_SJS_G1,GT,GAS,OPER,CONV,HARRIS,HOUSTON,4/21/1995, 88.2 
SAN JACINTO SES CTG 2,,SJS_SJS_G2,GT,GAS,OPER,CONV,HARRIS,HOUSTON,4/21/1995, 88.2 
SANDHILL ENERGY CENTER CTG 1,,SANDHSYD_SH1,GT,GAS,OPER,CONV,TRAVIS,SOUTH,6/20/2001, 60.5 
SANDHILL ENERGY CENTER CTG 2,,SANDHSYD_SH2,GT,GAS,OPER,CONV,TRAVIS,SOUTH,6/20/2001, 60.5 
SANDHILL ENERGY CENTER CTG 3,,SANDHSYD_SH3,GT,GAS,OPER,CONV,TRAVIS,SOUTH,6/20/2001, 60.5 
SANDHILL ENERGY CENTER CTG 4,,SANDHSYD_SH4,GT,GAS,OPER,CONV,TRAVIS,SOUTH,6/20/2001, 60.5 
SANDHILL ENERGY CENTER CTG 5A,,SANDHSYD_SH_5A,CC,GAS,OPER,CONV,TRAVIS,SOUTH,9/1/2004, 198.9 
SANDHILL ENERGY CENTER CTG 6,,SANDHSYD_SH6,GT,GAS,OPER,CONV,TRAVIS,SOUTH,3/22/2010, 60.5 
SANDHILL ENERGY CENTER CTG 7,,SANDHSYD_SH7,GT,GAS,OPER,CONV,TRAVIS,SOUTH,4/9/2010, 60.5 
SANDHILL ENERGY CENTER STG 5C,,SANDHSYD_SH_5C,CC,GAS,OPER,CONV,TRAVIS,SOUTH,9/1/2004, 191.0 
SILAS RAY CTG 10,,SILASRAY_SILAS_10,GT,GAS,OPER,CONV,CAMERON,COASTAL,1/1/2004, 60.5 
SILAS RAY POWER CTG 9,,SILASRAY_SILAS_9,CC,GAS,OPER,CONV,CAMERON,COASTAL,1/1/1996, 50.0 
SILAS RAY POWER STG 6,,SILASRAY_SILAS_6,CC,GAS,OPER,CONV,CAMERON,COASTAL,3/2/1962, 25.0 
SIM GIDEON STG 1,,GIDEON_GIDEONG1,ST,GAS,OPER,CONV,BASTROP,SOUTH,5/15/1965, 136.0 
SIM GIDEON STG 2,,GIDEON_GIDEONG2,ST,GAS,OPER,CONV,BASTROP,SOUTH,3/1/1968, 136.0 
SIM GIDEON STG 3,,GIDEON_GIDEONG3,ST,GAS,OPER,CONV,BASTROP,SOUTH,5/1/1972, 351.0 
SKY GLOBAL POWER ONE IC A,,SKY1_SKY1A,IC,GAS,OPER,CONV,COLORADO,SOUTH,2/10/2016, 26.7 
SKY GLOBAL POWER ONE IC B,,SKY1_SKY1B,IC,GAS,OPER,CONV,COLORADO,SOUTH,2/10/2016, 26.7 
STRYKER CREEK STG 1,,SCSES_UNIT1A,ST,GAS,OPER,CONV,CHEROKEE,NORTH,6/26/1958, 177.0 
STRYKER CREEK STG 2,,SCSES_UNIT2,ST,GAS,OPER,CONV,CHEROKEE,NORTH,12/21/1965, 502.0 
T H WHARTON CTG 1,,THW_THWGT_1,GT,GAS,OPER,CONV,HARRIS,HOUSTON,7/31/1967, 16.3 
T H WHARTON POWER CTG 31,,THW_THWGT31,CC,GAS,OPER,CONV,HARRIS,HOUSTON,7/31/1972, 69.0 
T H WHARTON POWER CTG 32,,THW_THWGT32,CC,GAS,OPER,CONV,HARRIS,HOUSTON,7/31/1972, 69.0 
T H WHARTON POWER CTG 33,,THW_THWGT33,CC,GAS,OPER,CONV,HARRIS,HOUSTON,7/31/1972, 69.0 
T H WHARTON POWER CTG 34,,THW_THWGT34,CC,GAS,OPER,CONV,HARRIS,HOUSTON,7/31/1972, 69.0 
T H WHARTON POWER CTG 41,,THW_THWGT41,CC,GAS,OPER,CONV,HARRIS,HOUSTON,7/31/1972, 69.0 
T H WHARTON POWER CTG 42,,THW_THWGT42,CC,GAS,OPER,CONV,HARRIS,HOUSTON,7/31/1972, 69.0 
T H WHARTON POWER CTG 43,,THW_THWGT43,CC,GAS,OPER,CONV,HARRIS,HOUSTON,8/16/1974, 69.0 
T H WHARTON POWER CTG 44,,THW_THWGT44,CC,GAS,OPER,CONV,HARRIS,HOUSTON,8/16/1974, 69.0 
T H WHARTON POWER CTG 51,,THW_THWGT51,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/21/1975, 85.0 
T H WHARTON POWER CTG 52,,THW_THWGT52,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/21/1975, 85.0 
T H WHARTON POWER CTG 53,,THW_THWGT53,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/21/1975, 85.0 
T H WHARTON POWER CTG 54,,THW_THWGT54,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/21/1975, 85.0 
T H WHARTON POWER CTG 55,,THW_THWGT55,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/21/1975, 85.0 
T H WHARTON POWER CTG 56,,THW_THWGT56,GT,GAS,OPER,CONV,HARRIS,HOUSTON,11/21/1975, 85.0 
T H WHARTON POWER STG 3,,THW_THWST_3,CC,GAS,OPER,CONV,HARRIS,HOUSTON,8/16/1974, 113.1 
T H WHARTON POWER STG 4,,THW_THWST_4,CC,GAS,OPER,CONV,HARRIS,HOUSTON,8/16/1974, 113.1 
TEXAS CITY POWER CTG A,,TXCTY_CTA,CC,GAS,OPER,CONV,GALVESTON,HOUSTON,1/1/2000, 129.1 
TEXAS CITY POWER CTG B,,TXCTY_CTB,CC,GAS,OPER,CONV,GALVESTON,HOUSTON,1/1/2000, 129.1 
TEXAS CITY POWER CTG C,,TXCTY_CTC,CC,GAS,OPER,CONV,GALVESTON,HOUSTON,1/1/2000, 129.1 
TEXAS CITY POWER STG,,TXCTY_ST,CC,GAS,OPER,CONV,GALVESTON,HOUSTON,1/1/2000, 143.7 
TEXAS GULF SULPHUR CTG 1,,TGS_GT01,GT,GAS,OPER,CONV,WHARTON,SOUTH,4/25/1985, 94.0 
TRINIDAD STG 6,,TRSES_UNIT6,ST,GAS,OPER,CONV,HENDERSON,NORTH,5/26/1965, 239.0 
TOPAZ POWER PLANT U1,,TOPAZ_UNIT1,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,10/14/2021, 60.5 
TOPAZ POWER PLANT U2,,TOPAZ_UNIT2,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,10/14/2021, 60.5 
TOPAZ POWER PLANT U3,,TOPAZ_UNIT3,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,10/14/2021, 60.5 
TOPAZ POWER PLANT U4,,TOPAZ_UNIT4,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,10/14/2021, 60.5 
TOPAZ POWER PLANT U5,,TOPAZ_UNIT5,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,10/14/2021, 60.5 
TOPAZ POWER PLANT U6,,TOPAZ_UNIT6,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,10/14/2021, 60.5 
TOPAZ POWER PLANT U7,,TOPAZ_UNIT7,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,10/14/2021, 60.5 
TOPAZ POWER PLANT U8,,TOPAZ_UNIT8,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,10/14/2021, 60.5 
TOPAZ POWER PLANT U9,,TOPAZ_UNIT9,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,10/14/2021, 60.5 
TOPAZ POWER PLANT U10,,TOPAZ_UNIT10,GT,GAS,OPER,CONV,GALVESTON,HOUSTON,10/14/2021, 60.5 
V H BRAUNIG CTG 5,,BRAUNIG_VHB6CT5,GT,GAS,OPER,CONV,BEXAR,SOUTH,10/2/2009, 64.5 
V H BRAUNIG CTG 6,,BRAUNIG_VHB6CT6,GT,GAS,OPER,CONV,BEXAR,SOUTH,10/2/2009, 64.5 
V H BRAUNIG CTG 7,,BRAUNIG_VHB6CT7,GT,GAS,OPER,CONV,BEXAR,SOUTH,10/2/2009, 64.5 
V H BRAUNIG CTG 8,,BRAUNIG_VHB6CT8,GT,GAS,OPER,CONV,BEXAR,SOUTH,10/2/2009, 64.5 
V H BRAUNIG STG 1,,BRAUNIG_VHB1,ST,GAS,OPER,CONV,BEXAR,SOUTH,5/3/1966, 225.0 
V H BRAUNIG STG 2,,BRAUNIG_VHB2,ST,GAS,OPER,CONV,BEXAR,SOUTH,5/15/1968, 240.0 
V H BRAUNIG STG 3,,BRAUNIG_VHB3,ST,GAS,RMR,CONV,BEXAR,SOUTH,8/1/1970, 420.0 
VICTORIA CITY (CITYVICT) CTG 1,,CITYVICT_CTG01,GT,GAS,OPER,CONV,VICTORIA,SOUTH,2/6/2020, 60.5 
VICTORIA CITY (CITYVICT) CTG 2,,CITYVICT_CTG02,GT,GAS,OPER,CONV,VICTORIA,SOUTH,2/6/2020, 60.5 
VICTORIA PORT (VICTPORT) CTG 1,,VICTPORT_CTG01,GT,GAS,OPER,CONV,VICTORIA,SOUTH,9/30/2019, 60.5 
VICTORIA PORT (VICTPORT) CTG 2,,VICTPORT_CTG02,GT,GAS,OPER,CONV,VICTORIA,SOUTH,9/30/2019, 60.5 
VICTORIA POWER CTG 6,,VICTORIA_VICTORG6,CC,GAS,OPER,CONV,VICTORIA,SOUTH,10/15/2009, 196.9 
VICTORIA POWER STG 5,,VICTORIA_VICTORG5,CC,GAS,OPER,CONV,VICTORIA,SOUTH,10/15/2009, 180.2 
W A PARISH CTG 1,,WAP_WAPGT_1,GT,GAS,OPER,CONV,FORT BEND,HOUSTON,7/31/1967, 16.3 
W A PARISH STG 1,,WAP_WAP_G1,ST,GAS,OPER,CONV,FORT BEND,HOUSTON,6/1/1958, 187.9 
W A PARISH STG 2,,WAP_WAP_G2,ST,GAS,OPER,CONV,FORT BEND,HOUSTON,12/20/1958, 187.9 
W A PARISH STG 3,,WAP_WAP_G3,ST,GAS,OPER,CONV,FORT BEND,HOUSTON,3/15/1961, 299.2 
W A PARISH STG 4,,WAP_WAP_G4,ST,GAS,OPER,CONV,FORT BEND,HOUSTON,6/1/1968, 580.5 
WICHITA FALLS CTG 1,,WFCOGEN_UNIT1,CC,GAS,OPER,CONV,WICHITA,WEST,6/19/1987, 20.0 
WICHITA FALLS CTG 2,,WFCOGEN_UNIT2,CC,GAS,OPER,CONV,WICHITA,WEST,6/19/1987, 20.0 
WICHITA FALLS CTG 3,,WFCOGEN_UNIT3,CC,GAS,OPER,CONV,WICHITA,WEST,6/19/1987, 20.0 
WINCHESTER POWER PARK CTG 1,,WIPOPA_WPP_G1,GT,GAS,OPER,CONV,FAYETTE,SOUTH,5/31/2009, 60.5 
WINCHESTER POWER PARK CTG 2,,WIPOPA_WPP_G2,GT,GAS,OPER,CONV,FAYETTE,SOUTH,5/31/2009, 60.5 
WINCHESTER POWER PARK CTG 3,,WIPOPA_WPP_G3,GT,GAS,OPER,CONV,FAYETTE,SOUTH,5/31/2009, 60.5 
WINCHESTER POWER PARK CTG 4,,WIPOPA_WPP_G4,GT,GAS,OPER,CONV,FAYETTE,SOUTH,5/31/2009, 60.5 
WISE-TRACTEBEL POWER CTG 1,,WCPP_CT1,CC,GAS,OPER,CONV,WISE,NORTH,1/3/2004, 275.0 
WISE-TRACTEBEL POWER CTG 2,,WCPP_CT2,CC,GAS,OPER,CONV,WISE,NORTH,1/3/2004, 275.0 
WISE-TRACTEBEL POWER STG 1,,WCPP_ST1,CC,GAS,OPER,CONV,WISE,NORTH,1/3/2004, 298.0 
WOLF HOLLOW POWER CTG 1,,WHCCS_CT1,CC,GAS,OPER,CONV,HOOD,NORTH,7/24/2002, 264.5 
WOLF HOLLOW POWER CTG 2,,WHCCS_CT2,CC,GAS,OPER,CONV,HOOD,NORTH,7/24/2002, 264.5 
WOLF HOLLOW POWER STG,,WHCCS_STG,CC,GAS,OPER,CONV,HOOD,NORTH,7/24/2002, 300.0 
WOLF HOLLOW 2 CTG 4,,WHCCS2_CT4,CC,GAS,OPER,CONV,HOOD,NORTH,5/2/2017, 360.0 
WOLF HOLLOW 2 CTG 5,,WHCCS2_CT5,CC,GAS,OPER,CONV,HOOD,NORTH,5/2/2017, 360.0 
WOLF HOLLOW 2 STG 6,,WHCCS2_STG6,CC,GAS,OPER,CONV,HOOD,NORTH,5/2/2017, 511.2 
NACOGDOCHES POWER,,NACPW_UNIT1,ST,BIOMASS,OPER,CONV,NACOGDOCHES,NORTH,6/22/2012, 116.5 
FARMERS BRANCH LANDFILL GAS TO ENERGY,,DG_HBR_2UNITS,ST,BIOMASS,OPER,CONV-SODG,DENTON,NORTH,8/1/2011, 3.2 
GRAND PRAIRIE LFG,,DG_TRIRA_1UNIT,ST,BIOMASS,OPER,CONV-SODG,DALLAS,NORTH,3/20/2015, 4.0 
